,,Name,,,,Time/iter, +/-,,Min,Max
,,cc_2_threads_iter_streaming_mut_8_100,,,,"152,303","4,976",,"147,327","157,279"
,,cc_2_threads_iter_streaming_mut_10_100,,,,"151,936","4,854",,"147,082","156,790"
,,vec_2_threads_iter_mut_100,,,,"162,044","6,243",,"155,801","168,287"
,,,,,,,,,,
,,cc_2_threads_iter_streaming_mut_1_1000,,,,"153,520","5,584",,"147,936","159,104"
,,cc_2_threads_iter_streaming_mut_4_1000,,,,"153,088","4,393",,"148,695","157,481"
,,cc_2_threads_iter_streaming_mut_8_1000,,,,"153,973","5,459",,"148,514","159,432"
,,cc_2_threads_iter_streaming_mut_10_1000,,,,"154,785","4,898",,"149,887","159,683"
,,vec_2_threads_iter_mut_1000,,,,"162,261","7,202",,"155,059","169,463"
,,,,,,,,,,
,,cc_2_threads_iter_streaming_mut_1_5000,,,,"170,211","3,790",,"166,421","174,001"
,,cc_2_threads_iter_streaming_mut_4_5000,,,,"171,049","4,647",,"166,402","175,696"
,,cc_2_threads_iter_streaming_mut_8_5000,,,,"170,094","5,269",,"164,825","175,363"
,,cc_2_threads_iter_streaming_mut_10_5000,,,,"172,007","5,426",,"166,581","177,433"
,,vec_2_threads_iter_mut_5000,,,,"162,035","6,981",,"155,054","169,016"
,,,,,,,,,,
,,cc_2_threads_iter_streaming_mut_1_10000,,,,"209,978","5,150",,"204,828","215,128"
,,cc_2_threads_iter_streaming_mut_4_10000,,,,"191,643","6,402",,"185,241","198,045"
,,cc_2_threads_iter_streaming_mut_8_10000,,,,"191,474","6,493",,"184,981","197,967"
,,cc_2_threads_iter_streaming_mut_10_10000,,,,"193,121","6,084",,"187,037","199,205"
,,vec_2_threads_iter_mut_10000,,,,"165,473","5,719",,"159,754","171,192"
,,,,,,,,,,
,,cc_2_threads_iter_streaming_mut_1_50000,,,,"516,385","40,120",,"476,265","556,505"
,,cc_2_threads_iter_streaming_mut_4_50000,,,,"372,026","10,582",,"361,444","382,608"
,,cc_2_threads_iter_streaming_mut_8_50000,,,,"339,033","14,053",,"324,980","353,086"
